ID,Header,Requirement,Active Subject,Action,When,Value
106,3. PHMSA Response,PHMSA appreciates the information provided by the commenters regarding the proposed records requirements.,PHMSA,appreciates the information provided by the commenters the commenters regarding the proposed records requirements the proposed records requirements,always,
107,3. PHMSA Response,"After considering these comments and as recommended by the GPAC, PHMSA is modifying the rule to withdraw the proposed § 192.13(e) and Appendix A to avoid possible confusion regarding recordkeeping requirements.",PHMSA,modifying After considering these comments and these comments as recommended by the GPAC the GPAC is the rule to withdraw the proposed §   192.13(e to the proposed §   192.13(e to to avoid possible confusion regarding recordkeeping requirements possible confusion regarding recordkeeping requirements regarding recordkeeping requirements recordkeeping requirements,After considering these comments and,['192.13']
108,3. PHMSA Response,"Also, whenever new recordkeeping requirements are included, PHMSA modified the rule to clarify that the new requirements are not retroactive.",PHMSA,modified Also whenever are whenever new recordkeeping requirements are included the rule to to clarify that the new requirements are not retroactive that the new requirements are not retroactive retroactive,always,
109,3. PHMSA Response,"To the degree that operators already have such records, they must retain them.",operators,must retain To the degree that operators already have such records the degree that operators already have such records already such records must them,always,
110,3. PHMSA Response,Operators must retain records created while performing future activities required by the code.,Operators,must retain must records created while performing future activities required by the code while performing future activities required by the code future activities required by the code the code,while,
111,3. PHMSA Response,"In addition to these general modifications, with regard to specific records requirements, PHMSA is modifying the rule as follows: (1) In § 192.5(d), operators must retain records documenting the current class location (but not historical class locations that no longer apply because PHMSA agrees they are not necessary).",PHMSA,"must modifying In addition to these general modifications addition to these general modifications to these general modifications these general modifications with regard to specific records requirements regard to specific records requirements to specific records requirements specific records requirements is the rule as follows : ( 1 ) In §   192.5(d ) , operators must retain records documenting the current class location ( but not historical class locations that no longer apply because PHMSA agrees they are not necessary ) 1 ) In §   192.5(d ) §   192.5(d must 1 ) In §   192.5(d ) , operators must retain records documenting the current class location ( but not historical class locations that no longer apply because PHMSA agrees they are not necessary ) records documenting the current class location ( but not historical class locations that no longer apply because PHMSA agrees they are not necessary ) the current class location ( but not historical class locations that no longer apply because PHMSA agrees they are not necessary ) no longer because PHMSA agrees they are not necessary they are not necessary necessary",always,"['1', '192.5']"
112,3. PHMSA Response,"(2) In § 192.67, the rule is being modified to delete reference to “original steel pipe manufacturing records” to avoid retroactivity concerns, add wall thickness and seam type to clarify that this manufacturing information must be recorded, and include an effective date to eliminate retroactivity concerns.",Not found,must modified ( 2 ) In §   192.67 §   192.67 is being to to delete reference to “ original steel pipe manufacturing records ” to avoid retroactivity concerns reference to “ original steel pipe manufacturing records ” to “ original steel pipe manufacturing records ” original steel pipe manufacturing records ” to to avoid retroactivity concerns retroactivity concerns wall thickness and seam type to to clarify that this manufacturing information must be recorded must be that this manufacturing information must be recorded an effective date to eliminate retroactivity concerns to retroactivity concerns,always,"['2', '192.67']"
113,3. PHMSA Response,"(3) In § 192.205, records for components are only required for components greater than 2 inches (instead of greater than or equal to 2 inches) (see Section III(A)(i)(3)).",Not found,"see In §   192.205 §   192.205 for components components are only ( 3 ) In §   192.205 , records for components are only required for components greater than 2 inches ( instead of greater than or equal to 2 inches ) for components components instead instead of than to 2 inches 2 inches Section III(A)(i)(3",always,"['3', '192.205', '2 inches', '2 inches', '3']"
114,3. PHMSA Response,"(4) In § 192.227, records demonstrating each individual welder qualification must be retained for a minimum of 5 years because PHMSA believes 5 years of welder qualification records are sufficient to evaluate whether systemic issues are present upon inspection and at the start-up of the pipeline.",PHMSA,must retained In §   192.227 §   192.227 each individual welder qualification must be for a minimum of 5 years a minimum of 5 years of 5 years 5 years because PHMSA believes 5 years of welder qualification records are sufficient to evaluate whether systemic issues are present upon inspection and at the start - up of the pipeline of welder qualification records welder qualification records 5 years of welder qualification records are sufficient to evaluate whether systemic issues are present upon inspection and at the start - up of the pipeline sufficient to evaluate whether systemic issues are present upon inspection and at the start - up of the pipeline to to evaluate whether systemic issues are present upon inspection and at the start - up of the pipeline whether systemic issues are present upon inspection and at the start - up of the pipeline present upon inspection and at the start - up of the pipeline upon inspection and at the start - up of the pipeline inspection the start - up of the pipeline of the pipeline the pipeline,always,"['4', '192.227', '5 years', '5 years']"
115,3. PHMSA Response,"(5) In § 192.285, records demonstrating plastic pipe joining qualifications at the time of pipeline installation in accordance must be retained for a minimum of 5 years because PHMSA believes 5 years of records are sufficient to evaluate whether systemic issues are present upon inspection and at the start-up of the pipeline.",PHMSA,must retained In §   192.285 §   192.285 plastic pipe joining qualifications at the time of pipeline installation in accordance qualifications at the time of pipeline installation in accordance the time of pipeline installation in accordance of pipeline installation pipeline installation in accordance accordance must be for a minimum of 5 years a minimum of 5 years of 5 years 5 years because PHMSA believes 5 years of records are sufficient to evaluate whether systemic issues are present upon inspection and at the start - up of the pipeline of records records 5 years of records are sufficient to evaluate whether systemic issues are present upon inspection and at the start - up of the pipeline sufficient to evaluate whether systemic issues are present upon inspection and at the start - up of the pipeline to to evaluate whether systemic issues are present upon inspection and at the start - up of the pipeline whether systemic issues are present upon inspection and at the start - up of the pipeline present upon inspection and at the start - up of the pipeline upon inspection and at the start - up of the pipeline inspection the start - up of the pipeline of the pipeline the pipeline,always,"['5', '192.285', '5 years', '5 years']"
116,3. PHMSA Response,"PHMSA notes that the recordkeeping requirements in this final rule under §§ 192.67, 192.127, 192.205, and 192.227(c) applicable to gas transmission pipelines will apply to offshore gathering pipelines and",PHMSA,"will notes in this final rule under § §   192.67 , 192.127 , 192.205 , and 192.227(c ) applicable to gas transmission pipelines this final rule under § §   192.67 , 192.127 , 192.205 , and 192.227(c ) applicable to gas transmission pipelines under § §   192.67 , 192.127 , 192.205 , and 192.227(c ) applicable to gas transmission pipelines § §   192.67 , 192.127 , 192.205 , and 192.227(c ) applicable to gas transmission pipelines to gas transmission pipelines gas transmission pipelines will that the recordkeeping requirements in this final rule under § §   192.67 , 192.127 , 192.205 , and 192.227(c ) applicable to gas transmission pipelines will apply to offshore gathering pipelines and to offshore gathering pipelines offshore offshore gathering pipelines",always,"['192.67', '192.127', '192.205', '192.227']"
117,3. PHMSA Response,"In accordance with this final rule's requirements, operators of such pipelines must keep any of the pertinent records they have upon this rule's issuance, and they must retain any records made when complying with these requirements following the publication of this rule.",operators such,must keep In accordance with this final rule 's requirements accordance with this final rule 's requirements with this final rule 's requirements this final rule 's requirements of such pipelines such pipelines must any of the pertinent records they have of the pertinent records they have the pertinent records they have upon this rule 's issuance this rule 's issuance must any records made when complying with these requirements following the publication of this rule when when complying with these requirements following the publication of this rule with these requirements these requirements following the publication of this rule the publication of this rule of this rule this rule,when,
118,3. PHMSA Response,"PHMSA notes that the requirements for creating records in §§ 192.67, 192.127, 192.205, and 192.227(c) are forward-looking requirements.",PHMSA,"notes for creating records in § §   192.67 , 192.127 , 192.205 , and 192.227(c ) records in § §   192.67 , 192.127 , 192.205 , and 192.227(c ) in § §   192.67 , 192.127 , 192.205 , and 192.227(c ) § §   192.67 , 192.127 , 192.205 , and 192.227(c ) that the requirements for creating records in § §   192.67 , 192.127 , 192.205 , and 192.227(c ) are forward - looking requirements forward forward - looking requirements",always,"['192.67', '192.127', '192.205', '192.227']"
119,3. PHMSA Response,"However, and in accordance with this final rule, operators must retain any records they currently have for their pipelines.",operators,must retain However in accordance with this final rule accordance with this final rule with this final rule this final rule must any records they currently have for their pipelines currently for their pipelines their pipelines,always,
120,3. PHMSA Response,"Any records generated through the course of operation, including, most notably, records generated by the material properties verification process at § 192.607, must also be retained by operators for the life of the pipeline.",Not found,"must retained through the course of operation the course of operation of operation operation including , most notably most most notably the material properties verification process at §   192.607 at §   192.607 §   192.607 must also be operators for the life of the pipeline the life of the pipeline of the pipeline the pipeline",always,['192.607']
121,3. PHMSA Response,"However, PHMSA is retaining the proposed paragraph (e) in the final rule and the reference to § 192.624 within § 192.619(e) because it more clearly requires pipeline segments that meet any of the applicability criteria in § 192.624(a) must reconfirm MAOP in accordance with § 192.624, even if they comply with § 192.619(a) through (d).",PHMSA,must retaining However is the proposed paragraph ( e ) in the final rule and the reference to §   192.624 within §   192.619(e the final rule and the reference to §   192.624 within §   192.619(e to §   192.624 §   192.624 within §   192.619(e §   192.619(e more more clearly because it more clearly requires pipeline segments that meet any of the applicability criteria in §   192.624(a ) pipeline segments that meet any of the applicability criteria in §   192.624(a any of the applicability criteria in §   192.624(a of the applicability criteria in §   192.624(a the applicability criteria in §   192.624(a in §   192.624(a §   192.624(a must MAOP in accordance with §   192.624 accordance with §   192.624 with §   192.624 §   192.624 even even if they comply with §   192.619(a ) through ( d ) with §   192.619(a §   192.619(a through ( d ) d,if,"['192.624 within', '192.619', '192.624', '192.624', '192.619']"
122,3. PHMSA Response,This also avoids the potential for conflict if this requirement were to be placed in a paragraph that applies to gathering lines and distribution lines.,this requirement,avoids also the potential for conflict for conflict conflict if this requirement were to be placed in a paragraph that applies to gathering lines and distribution lines to be to be placed in a paragraph that applies to gathering lines and distribution lines in a paragraph that applies to gathering lines and distribution lines a paragraph that applies to gathering lines and distribution lines to gathering lines and distribution lines lines and distribution lines,if,
123,3. PHMSA Response,It also makes it clear that pipeline segments with MAOP reconfirmed under § 192.624 are not required to comply with § 192.619(a) through (d).,pipeline segments,makes also it clear that pipeline segments with MAOP reconfirmed under §   192.624 with MAOP MAOP that pipeline segments with MAOP reconfirmed under §   192.624 under §   192.624 §   192.624 are are not required to comply with §   192.619(a ) through ( d ) to to comply with §   192.619(a ) through ( d ) with §   192.619(a §   192.619(a through ( d ) d,always,"['192.624 are', '192.619']"
124,3. PHMSA Response,"PHMSA issued advisory bulletins ADB 12-06 on May 7, 2012 (77 FR 26822) and ADB 11-01 on January 10, 2011 (76 FR 1504).",PHMSA,"May issued advisory bulletins - 06 on May 7 , 2012 ( 77 FR 26822 ) May 7 , 2012 ( 77 FR 26822 ) - 01 on January 10 , 2011 January 10 , 2011",always,"['12-06 on', '7', '2012', '77 FR', '26822', '11-01 on', '10', '2011', '76 FR', '1504']"
125,3. PHMSA Response,"For a document to be a record, it must be traceable, verifiable, and complete.",Not found,,always,
126,3. PHMSA Response,Traceable records are those which can be clearly linked to original information about a pipeline segment or facility.,Traceable records,,always,
127,3. PHMSA Response,"For example, a complete pressure testing record should identify a specific segment of pipe, who conducted the test, the duration of the test, the test medium, temperatures, accurate pressure readings, and elevation information as applicable.",a complete pressure testing record,"should identify For example example should a specific segment of pipe , who conducted the test , the duration of the test , the test medium , temperatures , accurate pressure readings , and elevation information as applicable of pipe pipe the test of the test the test as applicable",always,
128,3. PHMSA Response,A record that cannot be specifically linked to an individual pipeline segment is not a complete record for that segment.,A record an individual pipeline,,always,
129,3. PHMSA Response,"For example, a mill test report must be traceable, verifiable, and complete, which is a typical record for pipelines.",a mill test report,,always,
130,3. PHMSA Response,"For the mill test report to be complete, it must be signed, stamped, or otherwise authenticated as a genuine and true record of the material by the source of the record or information, in this example it could be the pipe mill, supplier, or testing lab.",the mill test report,,always,
131,3. PHMSA Response,"Another common record is a pressure test record, which must be traceable, verifiable, and complete.",Another common record,,always,
132,3. PHMSA Response,"For the pressure test record to be complete, it should identify a specific segment of pipe, who conducted the test, the duration of the test, the test medium, temperatures, accurate pressure readings, elevation information, and any other information required by § 192.517, as applicable.",the pressure test record,"should identify to For the pressure test record to be complete complete should a specific segment of pipe , who conducted the test , the duration of the test , the test medium , temperatures , accurate pressure readings , elevation information , and any other information required by §   192.517 , of pipe pipe the test of the test the test §   192.517 as applicable",always,['192.517']
133,Summary of PHMSA's Proposal: Method 1—Pressure Test,A pressure test is the most conventional assessment method by which an operator may reconfirm a pipeline segment's MAOP.,A pressure test,,always,
134,Summary of Public Comment: Method 1—Pressure Test,"API suggested that a pipeline segment's MAOP can be best established through performing a combination of pressure tests and ILI examinations, and they discussed how operators could conduct hydrostatic pressure testing to determine the in-place yield strength of a segment of pipeline by conducting a “spike” test pressure held for a few minutes followed by a subpart J pressure test approximately 10 percent below the spike level.",API,can suggested can be best that a pipeline segment 's MAOP can be best established through performing a combination of pressure tests and ILI examinations through performing a combination of pressure tests and ILI examinations a combination of pressure tests and ILI examinations of pressure tests and ILI examinations pressure tests and ILI examinations how could how operators could conduct hydrostatic pressure testing to determine the in - place yield strength of a segment of pipeline by conducting a “ spike ” test pressure held for a few minutes followed by a subpart J pressure test approximately 10 percent below the spike level hydrostatic pressure testing to to determine the in - place yield strength of a segment of pipeline by conducting a “ spike ” test pressure held for a few minutes followed by a subpart J pressure test approximately 10 percent below the spike level place the in - place yield strength of a segment of pipeline of a segment of pipeline a segment of pipeline of pipeline pipeline by conducting a “ spike ” test pressure held for a few minutes followed by a subpart J pressure test approximately 10 percent below the spike level a “ spike ” test pressure held for a few minutes followed by a subpart J pressure test approximately 10 percent below the spike level for a few minutes followed by a subpart J pressure test approximately 10 percent below the spike level a few minutes followed by a subpart J pressure test approximately 10 percent below the spike level a subpart J pressure test approximately 10 percent below the spike level approximately approximately 10 percent below the spike level the spike level,always,['10 percent']
135,Summary of Public Comment: Method 1—Pressure Test,"AGA stated that while they believe that pressure testing is a straightforward and well-established method, the proposed Method 1 MAOP reconfirmation requirements are unnecessarily complex.",AGA,"stated while they believe that pressure testing is a straightforward and well - established method that pressure testing is a straightforward and well - established method well a straightforward and well - established method that while they believe that pressure testing is a straightforward and well - established method , the proposed Method 1 MAOP reconfirmation requirements are unnecessarily complex unnecessarily unnecessarily complex",while,['1 MAOP']
136,Summary of Public Comment: Method 1—Pressure Test,"AGA further stated that subpart J provides different requirements and specifications for pressure tests based on the type of pipe being tested, and that Method 1 should refer to subpart J rather than to § 192.505(c) specifically, which requires unnecessarily stringent requirements.",AGA,"should stated further that subpart J provides different requirements and specifications for pressure tests based on the type of pipe being tested , and that Method 1 should refer to subpart J rather than to §   192.505(c ) specifically , which requires unnecessarily stringent requirements different requirements and specifications for pressure tests based on the type of pipe being tested for pressure tests pressure tests on the type of pipe being tested the type of pipe being tested of pipe pipe being should to subpart J subpart J rather to §   192.505(c §   192.505(c specifically which requires unnecessarily stringent requirements unnecessarily unnecessarily stringent requirements",always,"['1 should', '192.505']"
137,Summary of Public Comment: Method 1—Pressure Test,"INGAA stated that since the basic strength properties of steel pipe do not change over time, PHMSA should not limit allowable tests to only those conducted after July 1, 1965, as was proposed in § 192.619(a)(2)(ii).",INGAA,"should stated of steel pipe steel pipe do since the basic strength properties of steel pipe do not change over time over time time should that since the basic strength properties of steel pipe do not change over time , PHMSA should not limit allowable tests to only those conducted after July 1 , 1965 , as was proposed in §   192.619(a)(2)(ii ) allowable tests to only those conducted after July 1 , 1965 , only only those conducted after July 1 , 1965 , after July 1 , 1965 July 1 , 1965 was as was proposed in §   192.619(a)(2)(ii in §   192.619(a)(2)(ii §   192.619(a)(2)(ii","after July 1 , 1965","['1', '1965', '192.619', '2']"
138,Summary of Public Comment: Method 1—Pressure Test,Certain commenters stated that a spike test is not required to establish an adequate margin of safety for MAOP reconfirmation and suggested PHMSA eliminate spike testing from the pressure test method of MAOP reconfirmation.,Certain commenters,stated is that a spike test is not required to establish an adequate margin of safety for MAOP reconfirmation and suggested PHMSA eliminate spike testing from the pressure test method of MAOP reconfirmation to to establish an adequate margin of safety for MAOP reconfirmation an adequate margin of safety for MAOP reconfirmation of safety for MAOP reconfirmation safety for MAOP reconfirmation for MAOP reconfirmation MAOP reconfirmation PHMSA eliminate spike testing from the pressure test method of MAOP reconfirmation spike testing from the pressure test method of MAOP reconfirmation the pressure test method of MAOP reconfirmation of MAOP reconfirmation MAOP reconfirmation,always,
139,Summary of Public Comment: Method 1—Pressure Test,"On March 26, 2018, the GPAC recommended that PHMSA delete the spike test requirements from the pressure test method of MAOP reconfirmation.",the GPAC,"recommended On March 26 , 2018 March 26 , 2018 that PHMSA delete the spike test requirements from the pressure test method of MAOP reconfirmation the spike test requirements from the pressure test method of MAOP reconfirmation from the pressure test method of MAOP reconfirmation the pressure test method of MAOP reconfirmation of MAOP reconfirmation MAOP reconfirmation",always,"['26', '2018']"
140,Summary of Public Comment: Method 1—Pressure Test,The GPAC also recommended that PHMSA require operators to perform a pressure test in accordance with subpart J of part 192 rather than refer to specific requirements in § 192.505.,The GPAC,recommended also that PHMSA require operators to perform a pressure test in accordance with subpart J of part 192 rather than refer to specific requirements in §   192.505 operators to to perform a pressure test in accordance with subpart J of part 192 rather than refer to specific requirements in §   192.505 a pressure test in accordance with subpart J of part 192 accordance with subpart J of part 192 with subpart J of part 192 subpart J of part 192 of part 192 part 192 rather to specific requirements in §   192.505 specific requirements in §   192.505 in §   192.505 §   192.505,always,"['192 rather', '192.505']"
141,Summary of Public Comment: Method 1—Pressure Test,"Further, and as discussed during the meetings of December 2017 and March 26, 2018, if the applicable pressure test segment does not have traceable, verifiable, and complete MAOP records, the operator must use the best available information upon which the MAOP is currently based to conduct the pressure test.",the applicable pressure test segment,"must use Further , and as discussed during the meetings of December 2017 and March 26 , 2018 during the meetings of December 2017 and March 26 , 2018 the meetings of December 2017 and March 26 , 2018 of December 2017 and March 26 , 2018 December 2017 and March 26 , 2018 does if the applicable pressure test segment does not have traceable , verifiable , and complete MAOP records traceable , verifiable , MAOP records must the best available information upon which the MAOP is currently based to conduct the pressure test upon which which is currently to to conduct the pressure test the pressure test","during the meetings of December 2017 and March 26 , 2018","['2017 and', '26', '2018']"
142,Summary of Public Comment: Method 1—Pressure Test,The GPAC recommended PHMSA create a requirement for the operator of such a pipeline segment to add the test segment to its plan for opportunistically verifying material properties in accordance with the material properties verification provisions.,The GPAC,recommended PHMSA create a requirement for the operator of such a pipeline segment to add the test segment to its plan for opportunistically verifying material properties in accordance with the material properties verification provisions a requirement for the operator of such a pipeline segment for the operator of such a pipeline segment the operator of such a pipeline segment of such a pipeline segment such a pipeline segment to to add the test segment to its plan for opportunistically verifying material properties in accordance with the material properties the test segment to its plan for opportunistically verifying material properties its plan for opportunistically verifying material properties for opportunistically verifying material properties opportunistically opportunistically verifying material properties in accordance with the material properties accordance with the material properties with the material properties the material properties provisions,always,
143,PHMSA Response: Method 1—Pressure Test,"After considering these comments and as recommended by the GPAC, PHMSA is eliminating the spike testing requirement as part of the pressure test method of MAOP reconfirmation.",PHMSA,eliminating After considering these comments and these comments as recommended by the GPAC the GPAC is the spike testing requirement as part of the pressure test method of MAOP reconfirmation part of the pressure test method of MAOP reconfirmation of the pressure test method of MAOP reconfirmation the pressure test method of MAOP reconfirmation of MAOP reconfirmation MAOP reconfirmation,After considering these comments and,
144,PHMSA Response: Method 1—Pressure Test,"Lastly, if an operator does not have traceable, verifiable, and complete records for the material properties needed to establish MAOP by pressure testing, PHMSA is requiring that operators test, in accordance with the material verification requirements, the pipe materials cut out from the test manifold sites at the time the pressure test is conducted.",an operator,"requiring Lastly does if an operator does not have traceable , verifiable , and complete records for the material properties needed to establish MAOP by pressure testing traceable , verifiable , and complete records for the material properties needed to establish MAOP by pressure testing for the material properties needed to establish MAOP by pressure testing the material properties needed to establish MAOP by pressure testing to to establish MAOP by pressure testing MAOP by pressure testing pressure testing is that operators test in accordance with the material verification requirements accordance with the material verification requirements with the material verification requirements the material verification requirements , in accordance with the material verification requirements , the pipe materials cut out from the test manifold sites at the time the pressure test is conducted from the test manifold sites the test manifold sites at the time the pressure test is conducted the time the pressure test is conducted is",if,
145,PHMSA Response: Method 1—Pressure Test,"Further, if there is a failure during the pressure test, the operator must test any removed pipe from the pressure test failure in accordance with the material properties verification requirements to ensure that the segment of pipe is consistent with operator's sampling program established under § 192.607.",the operator,must test Further if there is a failure during the pressure test a failure during the pressure test during the pressure test the pressure test must any removed pipe from the pressure test failure the pressure test failure in accordance with the material properties accordance with the material properties with the material properties the material properties verification requirements to to ensure that the segment of pipe is consistent with operator 's sampling program established under §   192.607 of pipe pipe that the segment of pipe is consistent with operator 's sampling program established under §   192.607 consistent with operator 's sampling program established under §   192.607 with operator 's sampling program established under §   192.607 operator 's sampling program established under §   192.607 under §   192.607 §   192.607,if,['192.607']
146,PHMSA Response: Method 1—Pressure Test,This will avoid issues where operators may not have the documented and verified physical pipeline material properties and attributes that would otherwise be necessary to perform a hydrostatic pressure test to reconfirm MAOP.,operators,may avoid will issues where operators may not have the documented and verified physical pipeline material properties and attributes that would otherwise be necessary to perform a hydrostatic pressure test to reconfirm MAOP where may the documented and verified physical pipeline material properties and attributes that would otherwise be necessary to perform a hydrostatic pressure test to reconfirm MAOP would otherwise necessary to to perform a hydrostatic pressure test to reconfirm MAOP a hydrostatic pressure test to to reconfirm MAOP MAOP,always,
147,Summary of Public Comment: Method 2—Pressure Reduction,"AGA commented that the 18-month look-back time frame listed in the pressure reduction MAOP reconfirmation method is a much too narrow time frame for consideration and that the section should be rewritten to clarify that the pressure reduction should be taken from either (1) the immediate past 18 months, or (2) 5 years from the time the last pressure reduction was taken, stating that tying the baseline pressure to the effective date of the rule is arbitrary.",AGA,"should commented in the pressure reduction MAOP reconfirmation method the pressure reduction MAOP reconfirmation method that the 18 - month look - back time frame listed in the pressure reduction MAOP reconfirmation method is a much too narrow time frame for consideration and that the section should be rewritten to clarify that the pressure reduction should be taken from either ( 1 ) the immediate past 18 months , or ( 2 ) 5 years from the time the last pressure reduction was taken , stating that tying the baseline pressure to the effective date of the rule is arbitrary . much much too a much too narrow time frame for consideration for consideration consideration should be to to clarify that the pressure reduction should be taken from either ( 1 ) the immediate past 18 months , or ( 2 ) 5 years from the time the last pressure reduction was taken , stating that tying the baseline pressure to the effective date of the rule is arbitrary . should be that the pressure reduction should be taken from either ( 1 ) the immediate past 18 months , or ( 2 ) 5 years from the time the last pressure reduction was taken , stating that tying the baseline pressure to the effective date of the rule is arbitrary . from either ( 1 ) the immediate past 18 months , or ( 2 ) 5 years from the time the last pressure reduction was taken , stating that tying the baseline pressure to the effective date of the rule is arbitrary . either ( 1 ) the immediate past 18 months , or ( 2 ) 5 years from the time the last pressure reduction was taken , stating that tying the baseline pressure to the effective date of the rule is arbitrary . from the time the last pressure reduction was taken , stating that tying the baseline pressure to the effective date of the rule is arbitrary . the time the last pressure reduction was taken , stating that tying the baseline pressure to the effective date of the rule is arbitrary . was stating that tying the baseline pressure to the effective date of the rule is arbitrary the baseline pressure to the effective date of the rule the effective date of the rule of the rule the rule that tying the baseline pressure to the effective date of the rule is arbitrary arbitrary",always,"['18', '1', '18 months', '2', '5 years']"
148,Summary of Public Comment: Method 2—Pressure Reduction,"Further, Piedmont expressed concern that this method does not account for the actual gap that can occur between MAOP and operating pressure.",Piedmont,can expressed Further concern that this method does not account for the actual gap that can occur between MAOP and operating pressure does for the actual gap that can occur between MAOP and operating pressure the actual gap that can occur between MAOP and operating pressure can between MAOP and operating pressure MAOP and operating pressure,always,
149,Summary of Public Comment: Method 2—Pressure Reduction,"Similarly, another commenter suggested that operators who have already reduced MAOP on pipeline segments to be proactive should not be penalized by having to take an additional reduction in MAOP.",another commenter,should suggested Similarly have already MAOP on pipeline segments pipeline segments to to be proactive proactive should be that operators who have already reduced MAOP on pipeline segments to be proactive should not be penalized by having to take an additional reduction in MAOP by having to take an additional reduction in MAOP to to take an additional reduction in MAOP an additional reduction in MAOP in MAOP MAOP,always,
150,Summary of Public Comment: Method 2—Pressure Reduction,"Regarding the pressure reduction method for MAOP reconfirmation, the GPAC recommended PHMSA increase the look-back period from 18 months to 5 years and remove the requirements for operators selecting to take the pressure reduction to reconfirm MAOP to",the GPAC,recommended Regarding the pressure reduction method for MAOP reconfirmation the pressure reduction method for MAOP reconfirmation for MAOP reconfirmation MAOP reconfirmation PHMSA increase the look - back period from 18 months to 5 years and remove the requirements for operators selecting to take the pressure reduction to reconfirm MAOP to the look - back period from 18 months to 5 years 18 months to 5 years 5 years the requirements for operators selecting to take the pressure reduction to reconfirm MAOP to for operators selecting to take the pressure reduction to reconfirm MAOP to operators selecting to take the pressure reduction to reconfirm MAOP to to to take the pressure reduction to reconfirm MAOP to the pressure reduction to to reconfirm MAOP to MAOP to,always,"['18 months', '5 years']"
151,PHMSA Response: Method 2—Pressure Reduction,"After considering these comments and as recommended by the GPAC, PHMSA is increasing the look-back period to 5 years from the publication date of the rule and is removing the requirements for operators to perform fracture mechanics analysis on those pipeline segments where the operator has selected Method 2.",PHMSA,increasing After considering these comments and these comments as recommended by the GPAC the GPAC is the look - back period to 5 years 5 years from the publication date of the rule the publication date of the rule of the rule the rule is the requirements to for operators to perform fracture mechanics analysis on those pipeline segments where the operator has selected Method 2 fracture mechanics analysis on those pipeline segments where the operator has selected Method 2 on those pipeline segments where the operator has selected Method 2 those pipeline segments where the operator has selected Method 2 where has,After considering these comments and,"['5 years', '2']"
152,PHMSA Response: Method 2—Pressure Reduction,PHMSA made this change because the 5-year look-back period is consistent with IM requirements regarding MAOP confirmation.,PHMSA,made this change because the 5 - year look - back period is consistent with IM requirements regarding MAOP confirmation consistent with IM requirements regarding MAOP confirmation with IM requirements regarding MAOP confirmation IM requirements regarding MAOP confirmation MAOP confirmation,always,['5']
153,Summary of PHMSA's Proposal: Method 3—Engineering Critical Assessment,"In addition, PHMSA proposed that if the operator has reason to believe any pipeline segment contains or may be susceptible to cracks or crack-like defects, the operator would be required to estimate the remaining life of the pipeline using the fracture mechanics standards PHMSA specified.",PHMSA,"may proposed In addition addition if the operator has reason to believe any pipeline segment contains or may be susceptible to cracks or crack - like defects reason to believe any pipeline segment contains or may be susceptible to cracks or crack - like defects to any pipeline segment contains or may be susceptible to cracks or crack - like defects may susceptible to cracks or crack - like defects to cracks or crack - like defects cracks or crack - like defects would be that if the operator has reason to believe any pipeline segment contains or may be susceptible to cracks or crack - like defects , the operator would be required to estimate the remaining life of the pipeline using the fracture mechanics standards PHMSA specified to to estimate the remaining life of the pipeline using the fracture mechanics standards PHMSA specified the remaining life of the pipeline using the fracture mechanics standards PHMSA specified of the pipeline the pipeline the fracture mechanics standards PHMSA specified",if,
154,Summary of Public Comment: Method 3—Engineering Critical Assessment,"Several trade associations and pipeline industry entities stated that ILI is the best and most practical method for MAOP reconfirmation due to its cost-effectiveness and environmentally friendly nature, and that PHMSA should allow operators to use ILI as a reconfirmation method.",Several trade associations pipeline industry,"should stated that ILI is the best and most practical method for MAOP reconfirmation due to its cost - effectiveness and environmentally friendly nature , and that PHMSA should allow operators to use ILI as a reconfirmation method most the best and most practical method for MAOP reconfirmation due to its cost - effectiveness and environmentally friendly nature for MAOP reconfirmation MAOP reconfirmation due to its cost - effectiveness and environmentally friendly nature environmentally its cost - effectiveness and environmentally friendly nature should to operators to use ILI as a reconfirmation method ILI as a reconfirmation method a reconfirmation method",always,
155,Summary of Public Comment: Method 3—Engineering Critical Assessment,"These commenters, however, also stated that the requirements proposed for the usage of ILI with an ECA are overly complicated and burdensome, and they specifically recommended that the final rule should be simplified so that this method will play a greater role in MAOP reconfirmation in lieu of a pressure test.",These commenters,will stated however also for the usage of ILI with an ECA the usage of ILI with an ECA of ILI ILI with an ECA an ECA that the requirements proposed for the usage of ILI with an ECA are overly complicated and burdensome overly overly complicated and burdensome specifically should be that the final rule should be simplified so that this method will play a greater role in MAOP reconfirmation in lieu of a pressure test will so that this method will play a greater role in MAOP reconfirmation in lieu of a pressure test a greater role in MAOP reconfirmation in lieu of a pressure test in MAOP reconfirmation in lieu of a pressure test MAOP reconfirmation in lieu of a pressure test in lieu of a pressure test lieu of a pressure test of a pressure test a pressure test,always,
